x,y,z
1.768317,-0.1070625,-7.91
0.77,-0.1499598,-7.780107
0.77,-0.1470814,-7.780107
0.7699999,-0.1484963,-7.771776
0.7699999,-0.149922,-7.763383
0.7699999,-0.1485923,-7.804726
0.77,-0.1499971,-7.796581
0.77,-0.14714,-7.796581
0.7699999,-0.1485447,-7.788374
0.77,-0.08505892,-7.905393
0.7710162,-0.08267205,-7.91
0.77,-0.08234289,-7.905393
0.7710162,-0.07996199,-7.91
0.77,-0.07962686,-7.905393
0.7710162,-0.07725194,-7.91
0.77,-0.07691083,-7.905393
0.7710162,-0.07454189,-7.91
0.77,-0.09592304,-7.905393
0.7710162,-0.09351227,-7.91
0.77,-0.09320702,-7.905393
0.7710162,-0.09080222,-7.91
0.77,-0.09049097,-7.905393
0.7710162,-0.08809216,-7.91
0.77,-0.08777495,-7.905393
0.7710162,-0.0853821,-7.91
1.768317,-0.08267205,-7.91
1.768317,-0.07996199,-7.91
1.768317,-0.07725194,-7.91
1.768317,-0.07454189,-7.91
1.768317,-0.09351227,-7.91
1.768317,-0.09080222,-7.91
1.768317,-0.08809216,-7.91
1.768317,-0.0853821,-7.91
0.77,-0.06333068,-7.905393
0.7710162,-0.06099161,-7.91
0.77,-0.06061465,-7.905393
0.7710162,-0.05828156,-7.91
0.77,-0.05789862,-7.905393
0.7710162,-0.0555715,-7.91
0.77,-0.05518259,-7.905393
0.7710162,-0.05286144,-7.91
0.77,-0.1483974,-7.737822
0.77,-0.1498445,-7.729172
0.77,-0.1468999,-7.729172
0.77,-0.1483468,-7.720454
0.7699999,-0.1470218,-7.763383
0.77,-0.1484472,-7.754928
0.77,-0.1498835,-7.746408
0.77,-0.1469613,-7.746408
0.77,-0.0741948,-7.905393
0.7710162,-0.07183182,-7.91
0.77,-0.07147877,-7.905393
0.7710162,-0.06912177,-7.91
0.77,-0.06876273,-7.905393
0.7710162,-0.06641172,-7.91
0.77,-0.0660467,-7.905393
0.7710162,-0.06370166,-7.91
1.768317,-0.06099161,-7.91
1.768317,-0.05828156,-7.91
1.768317,-0.0555715,-7.91
1.768317,-0.05286144,-7.91
1.768317,-0.07183182,-7.91
1.768317,-0.06912177,-7.91
1.768317,-0.06641172,-7.91
1.768317,-0.06370166,-7.91
0.77,-0.1497237,-7.675845
0.77,-0.14671,-7.675845
0.77,-0.1498048,-7.71167
0.77,-0.1468376,-7.71167
0.77,-0.1482954,-7.702818
0.77,-0.1497646,-7.693896
0.77,-0.1467743,-7.693896
0.7699999,-0.1482432,-7.684905
0.77,-0.04160244,-7.905393
0.7710162,-0.03931117,-7.91
0.77,-0.03888641,-7.905393
0.7710162,-0.03660111,-7.91
0.77,-0.03617037,-7.905393
0.7710162,-0.03389105,-7.91
0.77,-0.03345434,-7.905393
0.7710162,-0.031181,-7.91
0.77,-0.05246656,-7.905393
0.7710162,-0.05015139,-7.91
0.77,-0.04975053,-7.905393
0.7710162,-0.04744133,-7.91
0.77,-0.04703449,-7.905393
0.7710162,-0.04473127,-7.91
